Pm,ΔS,ad-e/n,ad-HD,ad-G,δ-χ,δ-EWF,δ-HD,δ-G,Phase
3,12.3228,0.0344,112.2233,18.7712,0.0635,0.0369,0.7696,0.3027,BCC+FCC
1,12.8124,0.0489,31.2097,21.2447,0.0649,0.069,0.5317,0.3498,BCC+FCC
2,11.5257,0.0417,57.5,43.45,0.1415,0.0278,0.5849,0.5819,BCC
3,10.8709,0.0288,176.451,11.6095,0.086,0.0819,0.8297,0.2352,IM
3,14.1964,0.0382,127.8693,16.9074,0.0869,0.0802,0.7312,0.3027,IM
3,14.8967,0.0418,117.7778,19.6222,0.0781,0.0806,0.7341,0.3241,IM
1,13.3321,0.064,60.1218,24.3701,0.067,0.0683,0.5375,0.3794,IM
1,14.7842,0.0666,78.0591,29.3917,0.1032,0.0627,0.6133,0.4316,IM
3,13.8767,0.0494,68,30.2633,0.0743,0.0728,0.8263,0.5153,IM
3,8.9254,0.0388,27.1875,10.2656,0.0622,0.0198,0.2567,0.2893,IM
3,15.7177,0.0666,56.1112,28.8175,0.087,0.0653,0.7107,0.5483,IM
3,12.7077,0.0537,28.2076,13.7689,0.032,0.0065,0.3829,0.3671,BCC
3,11.4419,0.0348,29.05,15.8035,0.0675,0.0262,0.3604,0.5134,BCC
1,13.3809,0.0443,69.52,27.968,0.0678,0.0706,0.7131,0.4454,BCC
3,13.3321,0.0369,63.6233,29.046,0.1359,0.0279,0.6668,0.6731,BCC
1,14.5334,0.0525,67.6,22.992,0.0719,0.0567,0.5464,0.3601,IM
3,13.2416,0.0497,59.225,30.2306,0.1473,0.0299,0.604,0.5931,BCC
3,13.3809,0.0546,49.76,30.96,0.129,0.0277,0.4526,0.5533,IM
3,12.7202,0.0315,136.6382,13.5753,0.0767,0.0692,0.9068,0.2862,IM
3,11.0032,0.03,180.914,12.3511,0.087,0.0838,0.839,0.2442,IM
1,14.5318,0.0536,62.2448,30.6326,0.0804,0.0718,0.8457,0.5728,IM
3,18.2134,0.0558,103.5251,25.1753,0.085,0.0724,0.9316,0.4545,IM
1,13.3809,0.0803,86.32,32.344,0.1207,0.0587,0.5419,0.407,IM
3,11.5257,0.0336,57.75,32.1,0.1437,0.0288,0.5178,0.6434,BCC
1,13.3644,0.0622,66.426,23.7646,0.0831,0.0578,0.4779,0.3326,IM
3,14.6972,0.0374,47.2066,23.395,0.1529,0.0477,0.4279,0.6826,BCC
4,12.5719,0.032,141.2971,10.9329,0.08,0.0785,0.8991,0.2523,FCC
3,12.318,0.0347,46.0802,18.1667,0.1372,0.0362,0.4633,0.7391,BCC
1,12.8852,0.0578,76.9387,31.7673,0.1205,0.0595,0.75,0.4544,BCC
3,15.9242,0.0535,62.0962,27.771,0.074,0.0637,0.6993,0.4697,BCC+FCC
3,12.5998,0.0333,34.3781,20.7284,0.1149,0.0313,0.4183,0.6264,IM
1,12.8351,0.0572,47.75,28.7797,0.0811,0.069,0.5846,0.4469,BCC+FCC
4,12.8404,0.0387,40.9406,11.4075,0.0813,0.0386,0.4088,0.4678,BCC
1,14.8391,0.0447,66.3354,26.8975,0.0647,0.0649,0.7192,0.4341,BCC+FCC
3,14.859,0.0636,59.2865,24.945,0.065,0.0625,0.6063,0.3957,IM
3,14.4319,0.043,41.0751,14.3638,0.0823,0.0389,0.4394,0.4833,BCC
1,14.865,0.0648,77.7728,29.2787,0.1009,0.0638,0.6279,0.4368,IM
1,13.2066,0.0356,163.3288,20.9464,0.0882,0.0911,0.8187,0.346,FCC
1,13.1452,0.0557,60.9876,23.3037,0.0637,0.0666,0.5329,0.3658,IM
3,14.3353,0.0373,43.6463,18.9333,0.1274,0.0443,0.4098,0.6269,BCC
3,12.9185,0.0481,53.8089,22.6603,0.0713,0.0718,0.68,0.3774,IM
3,12.8853,0.0407,39.2653,10.3265,0.0931,0.0382,0.3453,0.3498,BCC
2,13.3809,0.0341,54.88,30.52,0.1952,0.0571,0.448,0.8194,BCC
1,4.9253,0.0193,29.6078,12.0572,0.0493,0.0473,1.5748,0.5534,BCC
3,13.3303,0.0357,51.1214,33.4048,0.1735,0.0419,0.4527,0.7249,IM
1,13.3809,0.0607,74.32,24.664,0.0855,0.0766,0.7769,0.5002,BCC+FCC
3,11.5145,0.0457,39.203,22.4692,0.0691,0.0705,0.5859,0.3811,IM
3,13.8484,0.107,62.2222,21.9909,0.1409,0.098,0.6638,0.5576,IM
3,12.2615,0.0357,61.0015,21.455,0.0549,0.0689,0.7892,0.3473,FCC
